entry_id,total_points,rank
3045896,2231,2409644
6807281,2159,3451268
3100722,2343,1041347
1183661,2311,1383312
5733088,2114,4089528
1692204,1754,7959451
5014146,2437,355662
3624681,1907,6452653
6813753,2249,2156530
8943593,1714,8349147
3577217,1644,8963191
2006731,2396,599302
6633284,2395,605160
9645443,1757,7935636
382865,2358,906877
1925499,1028,10897478
1812903,2232,2388093
3976722,2092,4391415
4305596,1927,6255643
7443153,2165,3363062
6736986,2400,573032
8468490,2369,810445
846527,2203,2813075
3279042,2433,372717
6302810,2217,2600920
180863,2222,2530932
1651702,1979,5727013
5718477,1559,9559533
6974075,2278,1779014
1671677,2280,1756423
7454856,2196,2912985
9217665,2311,1383902
756881,2408,516753
6483103,1833,7170681
7914846,1193,10707109
2837408,2203,2807215
8313462,1901,6508621
9092475,2295,1563415
982228,2076,4592887
7207129,1778,7724880
8296890,2363,854483
7058240,1883,6687478
4772043,2337,1098040
10029957,2133,3814117
5241111,2159,3450104
8107466,1787,7632937
4756819,2401,569147
450659,2276,1797554
235091,2156,3487044
4110801,2054,4877732
717629,2313,1361403
2627102,2297,1542498
6542369,2174,3228258
885694,2358,907036
5287240,1730,8193767
6673492,2100,4278726
841516,2388,655263
5355957,1892,6595565
1233198,1804,7467575
