code,web_name,full_name,club,n_headlines,headlines,sentiment,flags
586309,Barry,Thierno Barry,Everton,8,"1. Everton hold off Ipswich thanks to Thierno Barry goal despite VAR controversy - The Guardian || 2. Monday’s Everton News: Friedkin Group done, Barry talks latest goal, right back targeted - Royal Blue Mersey || 3. Everton vs Wolves: Joao Virginia acrobatics deny Thierno Barry - Sky Sports || 4. Everton news: Analysis - Thierno Barry’s vibrant character is a shining light - BBC || 5. 'A really positive start for Barry' - BBC || 6. Whether by accident or design, Thierno Barry is the face of the new Everton - The Independent || 7. Everton handed fresh Thierno Barry VAR goal verdict as tunnel message emerges - Liverpool Echo || 8. What are Everton’s options up front if Thierno Barry is injured? - The New York Times",,
40383,Forster,Fraser Forster,Bournemouth,0,,,
199798,Konsa,Ezri Konsa Ngoyo,Arsenal,0,,,
216616,O'Shea,Dara O'Shea,Ipswich Town,8,"1. Republic of Ireland v Israel: Irish squad will 'come together' to discuss fixtures, says Dara O'Shea - BBC || 2. O'SHEA CALLED UP FOR REPUBLIC OF IRELAND - Ipswich Town FC || 3. Ireland make feelings clear as Dara O'Shea asked about shaking hands with Israel players - AOL.co.uk || 4. Dara O'Shea in Ireland squad - but two Town team-mates miss out... - East Anglian Daily Times || 5. O'Shea and Ogbene in Ireland Squad - TWTD || 6. Dara O'Shea: Israel boycott 'not a decision' for Ireland players - TribalFootball || 7. Ireland Captain Dara O'Shea Says They're Fully Focused Ahead Of Controversial Games - kfmradio.com || 8. O'Shea Handed Irish Captaincy For Controversial Nations League Fixtures - TWTD",,
243413,Slater,Regan Slater,Hull City,0,,,
50175,Welbeck,Danny Welbeck,Chelsea,8,1. Danny Welbeck: My Football Firsts | News | Official Site - Chelsea Football Club || 2. Brighton's brilliant Danny Welbeck replacement proving everyone wrong - SussexWorld || 3. Man United missed massive trick not re-signing Danny Welbeck as 5/10 forwards flounder - talkSPORT || 4. Albion hot prospect opens up on loan move and Welbeck’s wise words - The Argus || 5. Time for Danny Welbeck and Jordan Henderson to roll back those years - Si Phillips Talks Chelsea || 6. Chelsea ratings: Welbeck and Henderson show their age but Fofana impresses - thesun.co.uk || 7. Chelsea Predicted Lineup vs. Brentford: Welbeck Enters Fearsome Forward Line - Sports Illustrated || 8. Alonso on Welbeck’s smooth adaptation and Henderson value | News | Official Site - Chelsea Football Club,,
59735,Darlow,Karl Darlow,Man Utd,7,"1. Nations League: Harry Wilson, Karl Darlow and Nathan Broadhead out of Wales squad - BBC || 2. Darlow: I've been speaking to Bruno about it! - Manchester United Website || 3. Karl Darlow Injury Adds to United’s International Break Absences - LiveScore || 4. Leeds win goal appeal as Dominic Calvert-Lewin credited, Karl Darlow debut ends in 3-2 loss - OneFootball || 5. Wilson, Darlow and Broadhead withdraw from Wales squad - Oz Arab Media || 6. Man Utd Confirm Rashford, Mainoo, Darlow Withdraw From International Duty - Nigerian Voice || 7. Karl Darlow studying Bruno Fernandes and ready to face Man Utd captain - Read Man Utd",,
60689,Wood,Chris Wood,Nott'm Forest,8,"1. Chris Wood - IMDb || 2. Chris Wood's AI bubble warning, Tata’s boardroom battle, and iPhone 18 demand -- Editor’s Picks from Moneycontrol - LinkedIn || 3. Video: Who's on my head? - Harvey Barnes or Chris Wood - The New York Times || 4. Gold at $10,000? Chris Wood says its 'feasible' and explains why - CNBC TV18 || 5. Gold at $10k, SIP flows, smallcaps outlook: Chris Wood's India mkt playbook - Business Standard || 6. India Banks Lose Their Growth Edge? Jefferies' Chris Wood On Financials - Business Today || 7. BTTV Exclusive | Jefferies’ Chris Wood On AI, US Bonds, Oil & India’s Market Outlook - Business Today || 8. Gold at $10,000, AI ‘implosion’: A look at Chris Wood’s big calls on India and global markets - CNBC TV18 - LinkedIn",,
67089,Dubravka,Martin Dubravka,Spurs,2,1. Tottenham's Martin Dubravka plan revealed after Antonin Kinsky struggles - Football Insider || 2. Tottenham stance on replacing Antonin Kinsky with Martin Dubravka revealed - TheHardTackle.com,,
75115,Wilson,Callum Wilson,Brentford,1,1. Callum Wilson News: Still searching for first 2026/27 goal - RotoWire,,
